ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_MeanRadius,AreaShape_MedianRadius,Children_Oospores_dual_Count,Children_Oospores_green_Count,Children_Oospores_red_Count,Children_Oospores_unstained_Count,Intensity_IntegratedIntensity_FITC,Intensity_IntegratedIntensity_T_Red,Intensity_LowerQuartileIntensity_FITC,Intensity_LowerQuartileIntensity_T_Red,Intensity_MaxIntensity_FITC,Intensity_MaxIntensity_T_Red,Intensity_MeanIntensity_FITC,Intensity_MeanIntensity_T_Red,Intensity_MedianIntensity_FITC,Intensity_MedianIntensity_T_Red,Intensity_MinIntensity_FITC,Intensity_MinIntensity_T_Red,Intensity_StdIntensity_FITC,Intensity_StdIntensity_T_Red,Intensity_UpperQuartileIntensity_FITC,Intensity_UpperQuartileIntensity_T_Red,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,93,2.1512503819725732,2.0,1,0,0,0,6.606530871475115,9.926772003993392,0.028004120104014874,0.041985198855400085,0.14785991609096527,0.20167849957942963,0.07103796635994748,0.10673948391390745,0.07357900217175484,0.10569161549210548,0.0037689784076064825,0.005233844742178917,0.045944768200458994,0.06831984089104043,0.1156977191567421,0.18219654262065887,1285.2043010752689,42.924731182795696,0,1
1,2,102,2.250947898611579,2.0,1,0,0,0,6.739467426203191,13.952452617697418,0.020714121870696545,0.040352484211325645,0.13611046969890594,0.24168764054775238,0.0660732100608156,0.13678875115389624,0.0630655363202095,0.14642557501792908,0.0045014116913080215,0.003997863736003637,0.04724024873322899,0.09416626115761494,0.12156862765550613,0.24168764054775238,706.1666666666666,45.27450980392157,0,2
1,3,101,2.2760181855142134,2.0,1,0,0,0,8.591409157961607,15.859586163423955,0.033417257480323315,0.05832379870116711,0.15298695862293243,0.24168764054775238,0.08506345700952087,0.157025605578455,0.09137865155935287,0.19056229293346405,0.006042572669684887,0.008926527574658394,0.05054802454484262,0.08833079990051425,0.13752956315875053,0.24168764054775238,753.990099009901,46.93069306930693,0,3
1,4,106,2.23917770052289,2.0,1,0,0,0,10.080399793572724,16.820202625356615,0.03759822994470596,0.07808041572570801,0.16690318286418915,0.24168764054775238,0.09509811126012004,0.15868115684298692,0.0952010378241539,0.1921568661928177,0.002868696115911007,0.010254062712192535,0.05683126372799537,0.08861053182142953,0.15472648292779922,0.24168764054775238,1199.5943396226414,89.34905660377359,0,4
1,5,88,2.1658215643619347,2.0,1,0,0,0,7.707759228302166,10.172823699424043,0.024322880432009697,0.023407340049743652,0.17822538316249847,0.24168764054775238,0.08758817304888825,0.11560026931163686,0.08441291004419327,0.10447852313518524,0.002609292743727565,0.0017853055614978075,0.06325150943777699,0.08938238080633959,0.16195926070213318,0.21573205292224884,444.5113636363636,175.38636363636363,0,5
1,6,70,1.915409205249062,2.0,0,0,0,1,0.9951628944836557,1.480628677411005,0.008796826470643282,0.012581063900142908,0.03828488662838936,0.0644541084766388,0.01421661277833794,0.02115183824872864,0.011810483410954475,0.015533684752881527,0.0031586175318807364,0.002563515678048134,0.008193529463105862,0.014442285160917664,0.01612115651369095,0.025909818708896637,310.9428571428571,190.2,0,6
1,7,68,1.9391419573092128,2.0,1,0,0,0,4.5693598974030465,6.8623788808472455,0.01908903568983078,0.01933318004012108,0.15437552332878113,0.23533989489078522,0.06719646907945656,0.10091733648304772,0.062836654484272,0.09097428619861603,0.0015564202331006527,0.0008087281603366137,0.0525142088620911,0.08334543242072179,0.12042420357465744,0.1893644630908966,59.14705882352941,281.0147058823529,0,7
1,8,56,1.811663720111221,1.7071067811865475,0,0,0,1,0.4492103517986834,0.40637827664613724,0.006744487676769495,0.006378271151334047,0.012222476303577423,0.009674220345914364,0.00802161342497649,0.007256754940109593,0.008300907909870148,0.007446402683854103,0.0024414435029029846,0.003402761882171035,0.0022556842291847176,0.0014029408003270463,0.009582665748894215,0.008117799647152424,1352.2857142857142,293.57142857142856,0,8
1,9,86,2.0866018533774784,2.0,1,0,0,0,7.340932313119993,11.320591889554635,0.0236438550055027,0.03999389708042145,0.1733272224664688,0.24168764054775238,0.0853596780595348,0.131634789413426,0.08363469690084457,0.13528649508953094,0.0030670634005218744,0.003616388188675046,0.06023000346155262,0.09027686572013416,0.15100328624248505,0.23871976882219315,633.5813953488372,307.6162790697674,0,9
1,10,58,1.6393681817007315,1.4142135623730951,0,0,0,1,0.0007629510946571827,0.0016632333863526583,0.0,0.0,0.0001678492408245802,0.00038147554732859135,1.3154329218227288e-05,2.867643769573549e-05,0.0,0.0,0.0,0.0,3.75320468314642e-05,7.806759153442192e-05,0.0,0.0,1129.2758620689656,316.7241379310345,0,10
