Count_Oospores_BF,Count_Oospores_dual,Count_Oospores_green,Count_Oospores_red,Count_Oospores_unstained,FileName_BF_raw,ImageNumber
112,0,90,0,22,3770 0 min 1 4x BF.tif,1
81,0,77,0,4,3770 0 min 1 BF.tif,2
193,1,145,5,42,3770 0 min 2 4x BF.tif,3
63,0,55,0,8,3770 0 min 2 BF.tif,4
104,2,0,68,34,3770 10 min 1 4x BF.tif,5
39,3,0,28,8,3770 10 min 1 BF.tif,6
84,2,2,44,36,3770 10 min 2 4x BF.tif,7
31,8,1,16,6,3770 10 min 2 BF.tif,8
175,2,1,147,25,3770 120 min 1 4x BF.tif,9
51,0,1,42,8,3770 120 min 1 BF.tif,10
568,13,1,475,79,3770 120 min 2 4x BF.tif,11
37,0,0,32,5,3770 120 min 2 BF.tif,12
172,0,0,147,25,3770 1440 min 1 4x BF.tif,13
49,0,0,45,4,3770 1440 min 1 BF.tif,14
238,1,0,206,31,3770 1440 min 2 4x BF.tif,15
81,0,0,74,7,3770 1440 min 2 BF.tif,16
186,3,0,145,38,3770 240 min 1 4x BF.tif,17
64,1,0,48,15,3770 240 min 1 BF.tif,18
97,2,0,64,31,3770 240 min 2 4x BF.tif,19
35,0,0,33,2,3770 240 min 2 BF.tif,20
153,1,0,113,39,3770 30 min 1 4x BF.tif,21
52,1,0,48,3,3770 30 min 1 BF.tif,22
324,1,2,258,63,3770 30 min 2 4x BF.tif,23
37,5,0,28,4,3770 30 min 2 BF.tif,24
104,2,1,80,21,3770 60 min 1 4x BF.tif,25
56,1,0,50,5,3770 60 min 1 BF.tif,26
106,0,1,83,22,3770 60 min 2 4x BF.tif,27
49,1,0,45,3,3770 60 min 2 BF.tif,28
76,0,49,0,27,3772 0 min 1 4x BF.tif,29
40,0,36,0,4,3772 0 min 1 BF.tif,30
57,7,43,2,5,3772 0 min 2 4x BF.tif,31
33,1,20,1,11,3772 0 min 2 BF.tif,32
38,26,1,6,5,3772 10 min 1 BF.tif,33
77,4,1,66,6,3772 10 min 1 4x BF.tif,34
103,5,3,71,24,3772 10 min 2 4x BF.tif,35
30,19,1,4,6,3772 10 min 2 BF.tif,36
89,5,0,66,18,3772 120 min 1 4x BF.tif,37
51,7,1,36,7,3772 120 min 1 BF.tif,38
53,4,1,41,7,3772 120 min 2 4x BF.tif,39
40,8,4,26,2,3772 120 min 2 BF.tif,40
287,4,0,225,58,3772 1440 min 1 4x BF.tif,41
44,3,1,36,4,3772 1440 min 1 BF.tif,42
154,8,0,120,26,3772 1440 min 2 4x BF.tif,43
42,6,0,29,7,3772 1440 min 2 BF.tif,44
53,7,0,31,15,3772 240 min 1 4x BF.tif,45
51,10,0,28,13,3772 240 min 1 BF.tif,46
72,5,2,53,12,3772 240 min 2 4x BF.tif,47
33,7,3,16,7,3772 240 min 2 BF.tif,48
80,3,0,65,12,3772 30 min 1 4x BF.tif,49
52,1,3,36,12,3772 30 min 1 BF.tif,50
53,6,0,39,8,3772 30 min 2 4x BF.tif,51
40,4,2,27,7,3772 30 min 2 BF.tif,52
103,2,1,85,15,3772 60 min 1 4x BF.tif,53
27,4,0,17,6,3772 60 min 1 BF.tif,54
95,2,6,64,23,3772 60 min 2 4x BF.tif,55
33,6,1,22,4,3772 60 min 2 BF.tif,56
